title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,1,1,9780316018708,hardcover-fiction,2008-07-01
NOTHING TO LOSE,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,2,2,9780385340564,hardcover-fiction,2008-07-01
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,6,9780316068048,hardcover-fiction,2008-07-01
PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,4,2,9780399154973,hardcover-fiction,2008-07-01
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,5,5,9780312348670,hardcover-fiction,2008-07-01
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",6,3,9780743290111,hardcover-fiction,2008-07-01
THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,7,1,9781416549970,hardcover-fiction,2008-07-01
ODD HOURS,Dean R. Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",8,4,9780553807059,hardcover-fiction,2008-07-01
MARRIED LOVERS,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,9,1,9780312341817,hardcover-fiction,2008-07-01
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love.,10,7,9780399155000,hardcover-fiction,2008-07-01
DEATH AND HONOR,W. E. B. Griffin and William E. Butterworth IV,Putnam,A Marine pilot spies in Argentina in 1943; the fourth book in the Honor Bound series.,11,2,9780399154980,hardcover-fiction,2008-07-01
BLOOD NOIR,Laurell K. Hamilton,Berkley,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,12,3,9780425222195,hardcover-fiction,2008-07-01
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",13,4,9780061537936,hardcover-fiction,2008-07-01
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,14,1,9780061374227,hardcover-fiction,2008-07-01
DEVIL MAY CARE,Sebastian Faulks,Doubleday,James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.,15,3,9780385524285,hardcover-fiction,2008-07-01
THE APPEAL,John Grisham,Doubleday Publishing,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,16,0,9780385515047,hardcover-fiction,2008-07-01
